generation,i,fitness,hash,mom_hash,dad_hash,values
0,20,[-4.136862610166529, 4.908200635315694],-342812539024792016,0,0,-4.292383937009578  -1.0257200715542814
0,21,[-4.331982385362879, 5.909961747007015],-8584745392873285760,0,0,-3.3657804229553046  2.483411136921621
0,22,[-4.076136915453164, 6.425949093781309],-833436363550822469,0,0,1.9116880353345511  4.059581964504574
0,23,[-3.9700524655577323, -1.5699594025426231],-1167221040934313183,0,0,-0.5400168686855666  4.58735325579344
0,24,[-3.8672292219791924, 4.35632828898494],-8031904886045913930,0,0,2.9162216487145756  3.7497166053693043
0,25,[-6.5192256088637635, 5.226131411129015],-8722907256804709407,0,0,0.21505832675641212  2.1283096231668868
0,26,[-3.5431544424993233, 8.274385686857313],331683423359662068,0,0,-4.085893420254967  3.196739288150704
0,27,[-4.790163131553755, 8.874800815928463],6815494814342818908,0,0,1.7574402835375311  -3.233351616718809
0,28,[-3.8748637204351906, 6.299730956498875],6358911133933995802,0,0,-2.4397820594403563  -4.064308018424143
0,29,[-3.133402335733538, 1.4734289100006546],3187365487780268763,0,0,4.609617775148969  -3.523980459969879
0,30,[-6.667612279260835, 5.7441773579780255],4708772255250184222,0,0,-0.33093418116598805  1.9994140454261036
0,31,[-3.8009581494335922, 5.782962257931445],8844751305554642251,0,0,-1.1454070179699993  -4.69907634892174
0,32,[-6.628985025049204, 8.142051329088321],7450770852682339684,0,0,1.9188154883368256  0.7375050543612529
0,33,[-6.558422401081828, 6.372631056841358],-8539068077563626918,0,0,0.49475181325480033  2.050326794222686
0,34,[-6.4041953770411215, -7.060774002460847],-307766091517073252,0,0,-1.6396942489025026  -1.508673281585018
0,35,[-5.919243226541065, -0.166535188760635],4706030403594407964,0,0,-2.488955836717709  -0.8242368044165911
0,36,[-5.675576287292778, 2.2710081793046584],8218110971368145822,0,0,-2.8313125945831707  0.06527457164985151
0,37,[-7.480095119108993, 3.4291690868988023],-5361593163115168613,0,0,-0.8939886404551309  1.1437705936141827
0,38,[-5.593361477505761, -3.3382309410965196],8290207235253311687,0,0,-1.887621650911746  -2.2081767488381776
0,39,[-8.133180474209198, 0.555561426677927],9004388348514666490,0,0,0.6227763829546404  -0.824366390321897
0,40,[-4.220654743094093, 1.0877326853416713],-402683142586530610,0,0,-2.172945450094624  3.7255944299008608
0,41,[-5.828246989915603, 2.2915053401793104],6022875247577097830,0,0,2.6123344386521508  -0.6798290257490329
0,42,[-5.256806429504439, 0.4048517872336963],-3851058122367708765,0,0,3.051765473904627  -1.0123864782911896
0,43,[-3.4096720745525677, 1.062024966530676],2530320296812960008,0,0,2.693763801332886  4.656862388776538
0,44,[-5.5594239086282595, 2.4191576524998815],-2321147051412374502,0,0,-0.0030044804075490816  2.935451480713499
0,45,[-7.364760734091664, 9.003070141765942],-2579757073579886932,0,0,1.0964840071130366  1.0661916842421437
0,46,[-5.783080448006498, 0.7036182279967158],8353526320281200407,0,0,-1.5622660949328857  2.2488440257609357
0,47,[-5.499280286591686, 4.9297686656033015],-4655073732491601838,0,0,0.8003142310485281  -2.8807353852462034
0,48,[-4.3400278278243505, 1.1311129645966647],-2584391995592780702,0,0,0.47229761207240184  4.146711715592911
0,49,[-3.1255235072082077, 1.5579213050374512],3079354754998594261,0,0,4.992628350340295  -2.9810931126486073
0,50,[-2.9073606425866445, 1.3242771139975065],8772090473630138824,0,0,4.975611024009902  3.659901903674063
0,51,[-7.065927171032399, 4.092776072186627],-6384449216168878911,0,0,-1.011691129661354  1.411356824827771
0,52,[-5.3505487759589565, 2.1001792577524863],7211419262667913670,0,0,-0.6355644910128628  3.061657692650927
0,53,[-4.818926615973571, 3.6143155470672883],8078670942302741781,0,0,-0.21140780823537408  -3.6440421945334434
0,54,[-4.693447776610765, 2.656832139307695],-7362130863951301352,0,0,-0.7835288473530024  -3.7000370218435363
0,55,[-4.046513021560586, 3.2241090686462774],-2717289591064211368,0,0,-1.8612581750799553  -4.122997411258279
0,56,[-3.733951849527334, 3.5447947464865397],6156655829092299119,0,0,4.419434469051502  2.1748639082356522
0,57,[-4.81475217557167, 3.6983216330420974],6382424954094874556,0,0,0.19506451296231386  -3.649292949005546
0,58,[-4.62395224285094, 5.53927559579393],2551015991475078747,0,0,2.506468991739963  2.9311373944194905
0,59,[-4.551698577619234, 3.9858414241339157],-4851292134184439030,0,0,-2.891650909976611  -2.6694399844892436
0,60,[-3.604370935483564, 4.8435394368197935],762207995985712384,0,0,-4.8497627010839945  -1.5849719664365436
0,61,[-3.850970446718736, 4.906311920772472],2314050784839388943,0,0,-1.3372561630919302  -4.5800704648936925
0,62,[-4.293054550196128, 7.377711398801288],7181885078484319033,0,0,3.959338480268803  1.4829214836361704
0,63,[-4.524298461877297, 9.100665193919186],-2170370288391390258,0,0,-3.784303025759812  1.1853841756292773
0,64,[-4.4868071193479935, 5.722462601965928],-6839597181090835456,0,0,2.4817791068379647  3.146200043616119
0,65,[-4.193267090891182, -0.6695110817698994],1638138630611198854,0,0,4.344522451191592  0.09332229386157209
0,66,[-3.824533112160921, 2.719223531280521],6797259204741794799,0,0,4.690709227235612  1.0451876911131546
0,67,[-6.341934511953102, 2.7793323853201697],-2216567056229579905,0,0,-1.2937877434927492  1.873731725291102
0,68,[-4.035930541364947, 4.76302208132512],-2144497111088364573,0,0,-3.85715919872983  -2.3883764016297127
0,69,[-3.7239293093332346, 7.1259306013027865],-5241191141949363783,0,0,-4.39632975666464  -2.2508416193434098
0,70,[-3.651711254615007, 14.672063831755793],2030727239220380459,0,0,1.7989675061014552  -4.704736000854497
0,71,[-3.637930987266685, 6.292741928734574],6172855846063567494,0,0,-3.6095635292826254  -3.5401510551477355
0,72,[-3.2934520459943224, 10.813572575114632],-7821394400914170597,0,0,-2.990610815005448  -4.679184461041653
0,73,[-3.234236144064158, 10.771819658338798],-860730459524096842,0,0,-4.956648796736611  2.6992471142143284
0,74,[-3.7398217118098307, 11.012536365104499],-7803773040073886981,0,0,2.3417586383751985  -4.32438337232276
0,75,[-6.598281983238696, 11.606818892214601],-8707000253261564477,0,0,1.698260038385012  1.1990205977895885
0,76,[-6.197031239344566, -1.2013399869766903],-3484988660340839287,0,0,-0.7671056457973036  -2.2662652159734566
0,77,[-5.540886688915973, 2.366644246062143],321857233685093899,0,0,-2.9135871365740607  -0.47562163772008326
0,78,[-4.4819583097997295, -0.4858449433686465],-6385734346860583583,0,0,-1.830079453768274  3.5709899692012357
0,79,[-4.83664983547247, -0.18997918534797487],-3496937920481826527,0,0,-3.1076126839935236  -1.8795787144901164
0,80,[-3.9891650814980077, -2.372787322326777],-4563394815420473767,0,0,-0.792211313506721  4.526209271397006
0,81,[-4.442627596152988, -1.39967292904583],9092764361528779122,0,0,3.879398712479423  -1.1861886993326607
0,82,[-3.7682558801824855, 3.00638204956082],-8675630464275873209,0,0,1.0821975537490438  4.758352926058741
0,83,[-3.5812432910609986, 3.582308009468841],-3385178323764666139,0,0,3.971549363242344  -3.254013771701476
0,84,[-3.0024786462586017, 0.1887081836057598],-6111935028073237304,0,0,3.805627709267359  4.658997866466692
0,85,[-7.474996270774268, 6.729325198072183],2227233086632950491,0,0,0.33004522729520236  1.417182975465476
0,86,[-4.191134103563382, -3.174373604217752],-3711660652999235314,0,0,-1.3287999460779343  4.140047287114145
0,87,[-5.9222619750119465, 1.6489926873642926],-7043011472752779740,0,0,-2.5930424242755743  -0.3701851566738199
0,88,[-5.2089414385254535, 3.667380633203723],3770280540506104268,0,0,0.4972097260412509  -3.222914614062221
0,89,[-3.7747003167677944, 4.437882399383147],-5933355151373081474,0,0,4.674527837023724  1.3706031159698782
0,90,[-6.362684132773393, 4.576172816294412],4658041848151372108,0,0,2.237601485938087  -0.32215815019934446
0,91,[-4.909466815378361, 3.63671770821483],-8150418420178493838,0,0,-2.4491098307811243  2.57969232782552
0,92,[-4.833639559654791, 8.946697044297068],8312677115105664462,0,0,-3.2115648413941877  1.7025113014183857
0,93,[-4.742624826786247, 4.342117173482478],-8577464940616237383,0,0,-2.6370299019432117  2.6379466519018884
0,94,[-4.08447703525325, 4.5463514878818145],-7465530957514017234,0,0,-2.7811820345808713  3.508300184546684
0,95,[-3.9982747495979782, 5.370003472654394],1436989020424058892,0,0,-3.7936788426776156  -2.572447817536764
0,96,[-4.444931230968131, 5.600979654043311],5603313083181680090,0,0,3.175479591304274  2.5203341764924483
0,97,[-4.302939674054192, 6.110348855903141],3519365558003831532,0,0,4.030900299749296  1.2369933281524856
0,98,[-4.131869396878342, 5.000114433894733],-3650762598363944705,0,0,1.231645400792722  4.2441781017707
0,99,[-4.70711930976641, 8.74669129468515],-6110256891283064253,0,0,1.4424743967778495  3.480468693070689
0,100,[-4.162984955369941, -2.879081732618041],-8441605793962311474,0,0,4.236895654028743  -1.117393521385659
0,101,[-4.111778179904161, 5.134732733127607],-5414137045552697244,0,0,-3.3820462290393403  2.882319706766391
0,102,[-7.25210968723511, 6.557365855197378],-4833748365558757721,0,0,0.059703101478287834  1.6053535799720215
0,103,[-7.191440959086444, -3.9777313163962087],-786825353722249758,0,0,-0.6486973855651428  -1.5154660311312718
0,104,[-4.0682879280075275, 8.548827177725334],2216063790452075222,0,0,0.33988219644219075  -4.483951156807777
0,105,[-3.8534687493381976, 5.330369382388113],-696223341368880574,0,0,3.3434483139629094  -3.3993705013362563
0,106,[-3.8223734000047176, 8.739289431284144],2667759338912843137,0,0,0.18653252940894394  -4.8049484527610495
0,107,[-3.752117951173995, 14.498173151918166],2029072819301254339,0,0,1.3866703011566237  -4.701075820947651
0,108,[-3.5412876387215624, 7.328350390884925],-4655123490442450360,0,0,-3.9259177281044746  3.395318062163456
0,109,[-3.409686237544463, 2.097359028032165],6770860841093737519,0,0,-3.272772851159215  4.269831978500813
0,110,[-5.316396214936539, 2.637059158452049],3969968315216571216,0,0,3.1294661322541657  -0.4305677451271963
0,111,[-3.9007466960128463, -1.5293166170096575],-6812156599270374335,0,0,4.207148174209701  -2.1110561420320306
0,112,[-6.64889449155809, 11.173495538710824],7755517372111411768,0,0,1.125043559007322  1.7025337354948666
0,113,[-4.1699528659404095, -2.258267110812329],7710976954946517358,0,0,-0.9590208951069705  4.266957023871603
0,114,[-6.916169400815997, -1.917450423021949],2870878641922419228,0,0,0.5235959050486949  -1.7677002505657082
0,115,[-6.168914953475603, 2.0984645046586294],-8675563281457011150,0,0,2.02987703148286  -1.3089403150137455
0,116,[-5.237461572670659, 2.803315356889091],-8113998572892128866,0,0,-0.22638715113915175  -3.2258065542879786
0,117,[-4.955421976306075, 3.8595961835797947],9036457850006964750,0,0,-3.480666710937146  0.4568004349440278
0,118,[-4.954388486614195, 4.042554564110356],6608668040315210996,0,0,3.4622958693207213  0.5861211386952263
0,119,[-5.194392202282786, 5.0973433688532355],-7453954490009455271,0,0,-2.4220743554954938  2.204395614201811
0,120,[-4.916011618270274, 6.279363291864131],1778190189510548007,0,0,2.5802342150895825  2.4388520216549896
0,121,[-4.219155421870106, 2.3519897979859534],757540624910772929,0,0,4.239303433646212  0.8033549793465324
0,122,[-4.216954805625787, 7.066964404074167],-6839728638320073224,0,0,-4.29058708836001  -0.48005489643074206
0,123,[-4.200434475684659, 7.136162451925983],9178334703045086553,0,0,3.8639016394624583  1.9696975644707484
0,124,[-3.78254517864776, 3.2528256197342964],1717067483651423970,0,0,4.223405054347209  2.406571538153134
0,125,[-3.900149108886853, 4.919307194798714],6372454948843553083,0,0,4.482039493753444  1.4405513102713314
0,126,[-5.250052666972156, 7.183614987885704],2646641840769844059,0,0,-3.018868993574787  1.1251692827704138
0,127,[-4.590137296721067, 7.394409074860205],1820788968030589664,0,0,3.698934119360967  1.2150149763597993
0,128,[-3.2890834922171526, 2.054370668737131],-2114250954425182504,0,0,3.620214114055308  4.21975392792149
0,129,[-4.829731844276424, 3.4045540467801882],-133797994383851279,0,0,3.606585357735936  0.4844068729649411
0,130,[-5.348376067283825, 9.03244637720778],-8928219269611561029,0,0,1.9949788861162698  2.41048824641066
0,131,[-4.706020950636788, 9.03917657206678],3935870717971492673,0,0,-3.4976905870804984  1.403334900078156
0,132,[-3.3623543632042225, 11.875942940393589],-8180807570984618501,0,0,-4.892566353223624  2.4004633066455474
0,133,[-3.3546608668269338, 12.061126075100596],-8200877396772089232,0,0,-4.935288911391012  2.3382308596811914
0,134,[-3.314885794028219, 10.058986950129711],7003916391872800538,0,0,-3.4055007354573688  -4.345331224174169
0,135,[-3.205570486119017, 10.865991578831075],-836595920292788334,0,0,-3.035095039357407  -4.811127419508142
0,136,[-4.19120027558494, 12.003781437851849],-6795517792462718855,0,0,-4.123655670188867  1.3785783487607741
0,137,[-3.907293700893603, 13.01055698669531],6669769351115358001,0,0,-4.301775425405051  1.8901097574708778
0,138,[-3.857480638372685, 9.459360653355368],1547329628067836316,0,0,-4.740103023367929  0.46497514454431066
0,139,[-3.090922052622873, 12.266487483159846],9218346090572455967,0,0,-4.26616919594932  -4.0328016620286835
0,140,[-2.760855242731841, -2.609121368911207],5933075757715672021,0,0,4.405388403403586  4.690911156379956
0,141,[-3.56423705780529, 1.5805926056216726],-4377778268579179986,0,0,4.422275080339054  2.6552318373218045
0,142,[-3.471434849074399, 2.1844178702870614],592591571908772352,0,0,4.235385548840757  -3.16962347418095
0,143,[-4.612729576287553, 3.014085810046763],2810823194915788578,0,0,3.828594665282367  0.5564906550861402
0,144,[-5.915862499808684, 5.102389939794975],-2825572552690106714,0,0,1.1322592998023708  -2.3679618761437937
0,145,[-3.3586008815385475, 11.804794361457684],-7273409934942645109,0,0,2.4180933998998153  -4.890107941452979
0,146,[-3.571250093998997, 12.736000486544443],-843096412446634648,0,0,2.2313957803917353  -4.639649695554922
0,147,[-3.0690727479324194, 9.927649089828032],5259389119226991497,0,0,3.786449924650734  -4.532571096517729
0,148,[-2.9577108627009037, 6.299284597646737],-233362331993162137,0,0,-4.293557799884516  4.320160128167688
0,149,[-2.9277297904528328, 10.36030757265961],-6300694344911391137,0,0,3.7296208336954546  -4.879702827774888
1,0,[-7.486555785254475, -1.9765704745919126],-7275485469279777903,2810823194915788578,-4881540592044526744,-1.3361251932517204  0.5564906550861402
1,1,[-7.382800245593045, -4.128364277008318],4306807186112995117,-3484988660340839287,-8675563281457011150,-0.7671056457973036  -1.3089403150137455
1,2,[-7.265921940985786, -2.3606411342734894],-4112957184046399338,-307766091517073252,2870878641922419228,0.5235959050486949  -1.508673281585018
1,3,[-7.1876644092519735, 8.92138587495678],3057351663971995640,757540624910772929,-6110256891283064253,1.4424743967778495  0.8033549793465324
1,4,[-6.174122868407817, -6.617583291209306],-7372316956273438174,-307766091517073252,2870878641922419228,-1.6396942489025026  -1.7677002505657082
1,5,[-7.023816526909475, -5.579948830977424],-4377388831292516526,-6384449216168878911,-4881540592044526744,-1.011691129661354  -1.4479713436185007
1,6,[-5.855123153267309, 1.6183769478791006],5716294442474800569,-5361593163115168613,-6813193258920257471,-0.8939886404551309  2.5226140754718163
1,7,[-4.019433646367703, -2.415200863892268],1884431403929638438,9004388348514666490,6372454948843553083,4.482039493753444  -0.824366390321897
1,8,[-3.9403647130958093, -4.637689397608203],-1262490582762589713,-307766091517073252,5933075757715672021,4.405388403403586  -1.508673281585018
1,9,[-7.357655340091963, -0.5813531299609713],2339446863978790559,-8675563281457011150,-4655073732491601838,0.8003142310485281  -1.3089403150137455
1,10,[-6.927736988567519, -4.600562526317821],-9184662979003971970,9004388348514666490,-307766091517073252,-1.6396942489025026  -0.824366390321897
1,11,[-7.214934690543108, -1.9046500494650986],-7611488126342843233,9004388348514666490,-307766091517073252,0.6227763829546404  -1.508673281585018
1,12,[-4.989933018878419, 0.8545719813156423],-6503369687384288823,-2234441876594514510,-696223341368880574,3.3434483139629094  -0.9500682106946581
1,13,[-4.932244355430063, 0.9337720884662644],3572704469420893739,-2234441876594514510,-696223341368880574,-0.9659797437040449  -3.3993705013362563
1,14,[-3.8949344369272088, -3.3487629623325486],-575082950261415051,-233362331993162137,8290207235253311687,-1.887621650911746  4.320160128167688
1,15,[-4.296510593776909, -0.15991745426265797],9202520573933257780,1717067483651423970,8218110971368145822,4.223405054347209  0.06527457164985151
1,16,[-3.742651975340712, -5.124412593495235],8227538280222845435,-6111935028073237304,8353526320281200407,-1.5622660949328857  4.658997866466692
1,17,[-3.7015036721514565, -5.032205973763851],6887800248961188482,-307766091517073252,5933075757715672021,-1.6396942489025026  4.690911156379956
1,18,[-8.87523692212114, 1.7036061790859762],4713678760154440427,2810823194915788578,-8722907256804709407,0.21505832675641212  0.5564906550861402
1,19,[-7.830140465709681, -1.4251844300319112],-1738633136390319967,3770280540506104268,-8441605793962311474,0.4972097260412509  -1.117393521385659
1,20,[-7.370682943337465, -4.611886520379631],-780993848121393279,7710976954946517358,9092764361528779122,-0.9590208951069705  -1.1861886993326607
1,21,[-7.8842296473212095, -0.36325465751068964],-6823034655815065469,9004388348514666490,-3851058122367708765,0.6227763829546404  -1.0123864782911896
1,22,[-7.311742126583, 2.0571082717816136],-7523522284381731277,-8441605793962311474,-2579757073579886932,1.0964840071130366  -1.117393521385659
1,23,[-3.3407262083587868, 2.1962033021700123],1777538533440008252,-6110256891283064253,592591571908772352,4.235385548840757  3.480468693070689
1,24,[-3.1978620132832445, 1.368001951739885],-8546772291343316280,-3650762598363944705,-6111935028073237304,3.805627709267359  4.2441781017707
1,25,[-6.580704476077678, 2.635721520938836],-2681941465896297828,-786825353722249758,-6110256891283064253,1.4424743967778495  -1.5154660311312718
1,26,[-4.9258852597064156, 2.1332384573501053],-4215140779109016183,-786825353722249758,-6110256891283064253,-0.6486973855651428  3.480468693070689
1,27,[-8.48705700259721, 2.9412030356058363],-1301360523864960656,5128003853598249367,2870878641922419228,0.5235959050486949  0.6313464165320868
1,28,[-8.06263524766895, -1.7387041013876945],2090231725600607214,-2234441876594514510,321857233685093899,-0.9659797437040449  -0.47562163772008326
1,29,[-7.919765661288247, 5.425945726701215],1078538165702018333,-2584391995592780702,-2579757073579886932,0.47229761207240184  1.0661916842421437
1,30,[-7.685778325231989, 4.340626288743502],6073832982086029817,7607617654552017928,-2825572552690106714,1.1322592998023708  -0.6708366325959023
1,31,[-4.904898894215606, 8.354750759079476],-7476286964280908770,6669769351115358001,2646641840769844059,-3.018868993574787  1.8901097574708778
1,32,[-4.46753980030598, -0.8279201544291448],-7563966803838178790,2870878641922419228,-2114250954425182504,3.620214114055308  -1.7677002505657082
1,33,[-4.272342348475745, 0.9648404001443269],8320594491335415514,2870878641922419228,-2114250954425182504,0.5235959050486949  4.21975392792149
1,34,[-7.282358317108555, 2.23215333714863],-4342205675130088206,-8441605793962311474,7755517372111411768,1.125043559007322  -1.117393521385659
1,35,[-6.976624737557316, 1.8444662328099115],7179896177434783447,2390493194439154756,-8707000253261564477,-1.3426492498927542  1.1990205977895885
1,36,[-3.5858544134732573, 2.143962729898932],-4755514605062896702,-8180807570984618501,-3722934551621886158,4.531397226455461  2.4004633066455474
1,37,[-7.306056649847079, 7.890069485368909],2048025221809356182,9004388348514666490,6372454948843553083,0.6227763829546404  1.4405513102713314
1,38,[-7.282358317108555, 2.23215333714863],-4342205675130088206,-8441605793962311474,7755517372111411768,1.125043559007322  -1.117393521385659
1,39,[-6.345839003298587, -0.04568087730972997],6219059053507392224,2667759338912843137,-3484988660340839287,0.18653252940894394  -2.2662652159734566
1,40,[-6.128328107753434, 3.731475532255152],-8290378730923337611,-8722907256804709407,1778190189510548007,0.21505832675641212  2.4388520216549896
1,41,[-4.410259647078548, -1.8916815863177416],-8843618618574143751,2810823194915788578,-4881540592044526744,3.828594665282367  -1.4479713436185007
1,42,[-3.3387039942533363, 2.1772952177143243],5638318760380896524,757540624910772929,-6110256891283064253,4.239303433646212  3.480468693070689
1,43,[-5.152514581727972, 2.226967048238329],-3628421374149391402,7211419262667913670,-3385178323764666139,-0.6355644910128628  -3.254013771701476
1,44,[-3.6206123625405358, 3.8855429359144957],-2092008696451163734,-5361593163115168613,-6813193258920257471,4.9492664584692605  1.1437705936141827
1,45,[-3.5631946345251326, 4.021490278800178],84026054187079986,-8675630464275873209,-8928219269611561029,1.9949788861162698  4.758352926058741
1,46,[-3.592961033141721, 4.308753769218166],-7646849272521428210,-8707000253261564477,8772090473630138824,4.975611024009902  1.1990205977895885
1,47,[-2.942145937686348, -1.4306968702617184],-1491540299604144006,-3650762598363944705,5933075757715672021,4.405388403403586  4.2441781017707
1,48,[-5.441745101204031, 5.025488794690257],1979384945798706062,-3484988660340839287,-8675563281457011150,2.02987703148286  -2.2662652159734566
1,49,[-6.883388284888769, 5.539012743666371],-294070081794960349,7755517372111411768,-3484988660340839287,-0.7671056457973036  1.7025337354948666
1,50,[-6.028837601002763, 4.433142808067764],166241410581164702,7755517372111411768,-3484988660340839287,1.125043559007322  -2.2662652159734566
1,51,[-5.895153359428404, 8.01733814796842],-3639489097349330736,-8675630464275873209,-8928219269611561029,1.0821975537490438  2.41048824641066
1,52,[-5.548319893794096, 9.933672099929188],-7324855289926077421,-8707000253261564477,1717067483651423970,1.698260038385012  2.406571538153134
1,53,[-5.122467988184768, 7.774019170737994],-5700367625005680614,-8722907256804709407,1778190189510548007,2.5802342150895825  2.1283096231668868
1,54,[-5.0409505557991094, -1.127418901894468],-8987416389684323446,762207995985712384,3091432174642765917,-3.036142448978164  -1.5849719664365436
1,55,[-4.661014477328041, 1.8788293261461735],-5870284227055678370,5259389119226991497,-6839728638320073224,3.786449924650734  -0.48005489643074206
1,56,[-4.4621959180537125, 8.622342236993942],5064267587239513860,-8707000253261564477,8772090473630138824,1.698260038385012  3.659901903674063
1,57,[-4.214245465569826, -0.6152021996145776],-5944751131382590362,-4833748365558757721,-233362331993162137,0.059703101478287834  4.320160128167688
1,58,[-4.869475960819702, 0.9849603596726944],-2081472303043539041,-6110256891283064253,2900854864273610396,-0.9120840547830369  3.480468693070689
1,59,[-4.1558774154219025, 4.92597241201971],4733279903300305042,-8707000253261564477,1717067483651423970,4.223405054347209  1.1990205977895885
1,60,[-3.79090089412892, 3.8216899352452454],3773853458955871322,-3650762598363944705,5933075757715672021,1.231645400792722  4.690911156379956
1,61,[-4.012245859179255, 6.062260468944153],-7744597531795506291,-8441605793962311474,7755517372111411768,4.236895654028743  1.7025337354948666
1,62,[-7.483202264316474, 6.415438733811071],-3775601629616403513,-6110256891283064253,2900854864273610396,1.4424743967778495  -0.14377013956121765
1,63,[-3.778872511075049, 7.583630321617184],-7036288374935388374,2667759338912843137,-3484988660340839287,-0.7671056457973036  -4.8049484527610495
1,64,[-4.942009391491618, 7.609586300222903],7175017578766516197,-8675563281457011150,-4655073732491601838,2.02987703148286  -2.8807353852462034
1,65,[-4.755990420914783, 5.683751253301613],-6269699521004014651,1717067483651423970,8218110971368145822,-2.8313125945831707  2.406571538153134
1,66,[-4.983344237668268, 8.734905862802199],-7295203852814300153,-6110256891283064253,592591571908772352,1.4424743967778495  -3.16962347418095
1,67,[-3.998073105646634, 13.471852652458692],877640433830670504,-4833748365558757721,-233362331993162137,-4.293557799884516  1.6053535799720215
1,68,[-3.6680139439576323, 3.4555202189829983],-8344409855006423986,7211419262667913670,-3385178323764666139,3.971549363242344  3.061657692650927
1,69,[-3.8143708806287946, 3.8208206657606087],3182432047890502399,-3650762598363944705,-6111935028073237304,1.231645400792722  4.658997866466692
1,70,[-4.24074543592174, 4.7082373796613926],5158027550200008824,-2584391995592780702,-2579757073579886932,1.0964840071130366  4.146711715592911
1,71,[-4.13092497910407, 6.016739005097711],-1587589605030514204,-6111935028073237304,8353526320281200407,3.805627709267359  2.2488440257609357
1,72,[-4.012245859179255, 6.062260468944153],-7744597531795506291,-8441605793962311474,7755517372111411768,4.236895654028743  1.7025337354948666
1,73,[-3.9889044188703866, 5.155225254158179],-1826624548266731335,-2144497111088364573,-4655123490442450360,-3.9259177281044746  -2.3883764016297127
1,74,[-3.8074601038112403, 6.309816618882765],8631927853521564601,-233362331993162137,8290207235253311687,-4.293557799884516  -2.2081767488381776
1,75,[-4.127500830877354, 6.833371841381437],2302668931801869751,2390493194439154756,-8707000253261564477,1.698260038385012  4.08566861782406
1,76,[-3.578173259118123, 6.936147218051866],-4972996053264083598,-2144497111088364573,-4655123490442450360,-3.85715919872983  3.395318062163456
1,77,[-3.4185157128005232, 8.261235750050771],1440341775238106956,762207995985712384,3091432174642765917,-4.8497627010839945  -2.298552646434353
1,78,[-5.940132194431634, 10.548747956650894],6032646935672173550,-7453954490009455271,2029072819301254339,1.3866703011566237  2.204395614201811
1,79,[-3.0716664741887305, 10.902132149161687],-102198228908751132,-8180807570984618501,-3722934551621886158,-4.892566353223624  3.300655108643241
1,80,[-4.109440935861201, 11.839421215501538],-1654045917543440786,6669769351115358001,2646641840769844059,-4.301775425405051  1.1251692827704138
1,81,[-3.472645691942455, 9.046768564120507],-4455171204290047819,-7453954490009455271,2029072819301254339,-2.4220743554954938  -4.701075820947651
1,82,[-6.9306353694009175, 11.249563954767101],7958717402677007630,-8707000253261564477,2029072819301254339,1.3866703011566237  1.1990205977895885
1,83,[-5.951804794598871, 1.0533015127228387],-7588095375108781819,8353526320281200407,-2216567056229579905,-1.2937877434927492  2.2488440257609357
1,84,[-6.139045557801163, 2.429649100594047],6679025350525545496,8353526320281200407,-2216567056229579905,-1.5622660949328857  1.873731725291102
1,85,[-5.259316125566475, 2.6988773774268093],-6319351179255849553,8312677115105664462,1638138630611198854,-3.2115648413941877  0.09332229386157209
1,86,[-6.779387939254912, 2.7903870322076334],-2490243593936521001,-6384449216168878911,-4881540592044526744,-1.3361251932517204  1.411356824827771
